sku_ou_fichier,insunits,motif
1112,5,P16B_deduit_par_recoupement_catalogue: dim_native=115.0000 x facteur=10.0 = 1150.000mm vs catalogue=1150.000mm (ecart 0.00%)
D618,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D114,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D753,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1327,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0060 x facteur=10.0 = 2000.060mm vs catalogue=2000.000mm (ecart 0.00%)
D612,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D801,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D513,5,P16B_deduit_par_recoupement_catalogue: dim_native=176.1000 x facteur=10.0 = 1761.000mm vs catalogue=1750.000mm (ecart 0.63%)
D505,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.6175 x facteur=1.0 = 2000.618mm vs catalogue=2000.000mm (ecart 0.03%)
D560,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D117,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D898,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D530,4,P16B_deduit_par_recoupement_catalogue: dim_native=2001.6000 x facteur=1.0 = 2001.600mm vs catalogue=2000.000mm (ecart 0.08%)
1341,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
1325,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
CL1213A,4,P16B_deduit_par_recoupement_catalogue: dim_native=1803.8239 x facteur=1.0 = 1803.824mm vs catalogue=1800.000mm (ecart 0.21%)
D631,4,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
BL140,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=293.4256 x facteur=10.0 = 2934.256mm vs catalogue=2800.000mm (ecart 4.79%)
D705,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D125,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D123,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D562,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1165,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=215.0000 x facteur=10.0 = 2150.000mm vs catalogue=2150.000mm (ecart 0.00%)
1366,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=215.0000 x facteur=10.0 = 2150.000mm vs catalogue=2150.000mm (ecart 0.00%)
D561,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D572,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D709,4,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D100,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D653,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D124,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1365,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=175.0000 x facteur=10.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
D706,4,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1156,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
D563,4,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D122,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D564,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D576,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D620,4,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1367,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=215.0000 x facteur=10.0 = 2150.000mm vs catalogue=2150.000mm (ecart 0.00%)
D121,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D565,4,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D567,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1324,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D577,5,P16B_deduit_par_recoupement_catalogue_apres_retraitement_padding: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
