ref,famille,sfam,type,a_dxf,a_step,a_stl,format_exploitable
M202,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M208,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M209,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M210,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M250,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M251,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,True,False,True,True
M252,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M253,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M254,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M255,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M298,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M299,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M302,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M306,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M390,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M400,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M401,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M402,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M403,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M404,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M405,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M406,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M407,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M501,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M502,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,True,True,True
M503,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M504,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M604,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M605,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
PL201,Encadrements,Rectangulaires,T_INCERTAIN,True,False,False,True
PL319,Encadrements,Rectangulaires,T_INCERTAIN,False,True,False,True
PL204,Encadrements,Carrés,T_INCERTAIN,True,False,False,True
M401P,Encadrements,Encastrées,T_INCERTAIN,False,False,True,True
0760,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
0800,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
0900,Colonnes,Pilastres,T_INCERTAIN,True,True,False,True
0905,Colonnes,Pilastres,T_INCERTAIN,True,True,False,True
0950,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
1000,Colonnes,Pilastres,T_INCERTAIN,True,True,False,True
1005,Colonnes,Pilastres,T_INCERTAIN,True,True,False,True
1025,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
1050,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
2000,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
2020,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
2030,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
3000,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
3068,Colonnes,Pilastres,T_INCERTAIN,False,False,False,False
BL120,Profils LED,Insertion,T1_PROFIL_EXTRUDE,True,True,True,True
BL122,Profils LED,Insertion,T1_PROFIL_EXTRUDE,False,True,False,True
BL130,Profils LED,Insertion,T1_PROFIL_EXTRUDE,True,True,True,True
BL131,Profils LED,Insertion,T1_PROFIL_EXTRUDE,False,True,True,True
BL132,Profils LED,Insertion,T1_PROFIL_EXTRUDE,False,True,True,True
BL140,Profils LED,Insertion,T1_PROFIL_EXTRUDE,True,True,True,True
BL160,Profils LED,Insertion,T1_PROFIL_EXTRUDE,True,True,True,True
BL170,Profils LED,Insertion,T1_PROFIL_EXTRUDE,False,True,False,True
BL180,Profils LED,Insertion,T1_PROFIL_EXTRUDE,False,True,False,True
BP30P,Profils LED,Finition,T1_PROFIL_EXTRUDE,True,True,False,True
9021,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,False,False,False
9201,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,True,False,True
9202,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9203,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9204,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9205,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9206,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9211,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9212,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9213,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9214,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9215,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9216,Lambris,Décaissés,T2_RELIEF_PLANAIRE,True,True,False,True
9221,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,False,False,False
9222,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,False,False,False
9223,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,False,False,False
9224,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,False,False,False
9225,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,False,False,False
9226,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,False,False,False
9227,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,False,False,False
9228,Lambris,Décaissés,T2_RELIEF_PLANAIRE,False,False,False,False
PLIN08,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
PLIN08M,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
PLIN10,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
PLIN10A,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
PLIN10M,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
PLIN10MA,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
PLIN12,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
PLIN12A,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
PLIN15,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
PLIN15A,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
PLIN20,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
PLIN21,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
PLIN38,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
PLINT,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
PLINTA,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
TAL1343,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
TAL20,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
TAL26,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
TAL41,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,True,False,True
TAL44,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
TALGM,Plinthes,Plinthes,T1_PROFIL_EXTRUDE,False,False,False,False
1443,Ornements,Ornements,T4_VOLUME_LIBRE,False,False,False,False
3906,Ornements,Ornements,T4_VOLUME_LIBRE,False,False,False,False
4200,Ornements,Ornements,T4_VOLUME_LIBRE,False,False,False,False
4201,Ornements,Ornements,T4_VOLUME_LIBRE,False,False,False,False
